CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration|
0.779999971|0.876404524|0.825396776|0.799999952|1.6|0.75454545|0.932584286|0.834170878|0.799999952|4.5|0.728155315|0.842696607|0.78125|0.799999952|4.5|0.718181789|0.887640476|0.79396981|0.799999952|1863.2|0.718181789|0.887640476|0.79396981|0.799999952|1.9|0.731481493|0.887640476|0.802030444|0.799999952|2.1|0.733944952|0.898876429|0.808080852|0.799999952|5.2|0.75454545|0.932584286|0.834170878|0.649999917|1.2|Right|
0.808510661|0.42696628|0.558823526|0.599999905|1|0.558558583|0.696629226|0.620000064|0.549999893|5.2|0.481818169|0.595505595|0.532663286|0.599999905|9|0.522123873|0.662921369|0.584158421|0.599999905|1877.9|0.522123873|0.662921369|0.584158421|0.599999905|1.2|0.514563084|0.595505595|0.552083313|0.249999836|4|0.490740746|0.595505595|0.538071036|0.599999905|7.1|0.495575219|0.629213512|0.554455459|0.499999881|1.5|Left|
0.974576294|0.213754654|0.350609779|0.599999905|8.6|0.684824884|0.32713756|0.442767322|0.549999893|74.7|0.612834215|0.532527864|0.569865704|0.299999833|31.4|0.732276142|0.729553878|0.730912447|0.049999844|1184.3|0.692840636|0.557620823|0.617919683|0.399999857|14.6|0.938524604|0.425650567|0.585677743|0.349999845|19.8|0.900763333|0.548327148|0.681686878|0.299999833|112.1|0.753353953|0.678438663|0.713936448|0.299999833|35.3|Left|
0.921428561|0.119888477|0.212171063|0.549999893|7.5|0.606382966|0.211895913|0.314049572|0.549999893|14.8|0.534142613|0.32713756|0.405763686|0.399999857|20.9|0.595724881|0.595724881|0.595724881|0.049999844|1143.1|0.549180329|0.373605937|0.444690257|0.399999857|8.7|0.859195411|0.277881026|0.419943839|0.199999839|82.8|0.775831878|0.411710024|0.537947774|0.299999833|70|0.670731723|0.511152387|0.580168784|0.349999845|18|Left|
0.986666679|0.068773232|0.128583834|0.849999964|7.6|0.754716992|0.223048329|0.344332844|0.799999952|15.8|0.64853555|0.432156146|0.518683732|0.74999994|23|0.687732339|0.687732339|0.687732339|0.199999839|1119.1|0.704314709|0.515799284|0.595493615|0.74999994|11.5|0.957446814|0.167286247|0.284810126|0.74999994|15.2|0.933014333|0.18122676|0.303501934|0.799999952|73.1|0.742105246|0.655204475|0.695952594|0.699999928|143.2|Left|
0.991071403|0.206319705|0.341538459|0.399999857|5.7|0.717622101|0.314126402|0.436974794|0.399999857|13|0.602094233|0.534386635|0.566223562|0.149999842|22.8|0.750239253|0.728624523|0.739273965|0.099999845|1165.7|0.659528911|0.572490692|0.612935305|0.199999839|7.1|0.944329917|0.425650567|0.586803377|0.199999839|8|0.899543405|0.549256504|0.682054281|0.149999842|52.5|0.743902445|0.680297375|0.71067965|0.149999842|26.6|Left|
0.958041966|0.127323419|0.224774405|0.74999994|7.7|0.505703449|0.247211903|0.332084894|0.699999928|26.2|0.556555271|0.402416348|0.467098176|0.649999917|26.2|0.634758353|0.634758353|0.634758353|0.199999839|1140.3|0.708201885|0.417286247|0.525146186|0.699999928|8.4|0.878640771|0.336431235|0.486559153|0.649999917|10.5|0.812596023|0.49163568|0.612623096|0.599999905|78.7|0.685975611|0.627323449|0.655339837|0.599999905|40.2|Left|
0.981566846|0.197955385|0.329466343|0.849999964|7.7|0.693661988|0.366171002|0.479318708|0.799999952|22.5|0.70219779|0.593866169|0.64350456|0.649999917|21.1|0.823420048|0.823420048|0.823420048|0.199999839|1195.6|0.740245283|0.617100358|0.673086703|0.699999928|9.9|0.94324851|0.4479554|0.607435465|0.499999881|70.1|0.897820175|0.61245352|0.728176773|0.599999905|73.3|0.817460299|0.765799284|0.790786982|0.599999905|29.7|Left|
0.858823538|0.067843869|0.125753671|0.699999928|7.9|0.446202546|0.131040886|0.202586204|0.699999928|13.7|0.3353028|0.210966542|0.258984596|0.599999905|22.5|0.616981149|0.303903341|0.407222927|0.649999917|1171.1|0.483809531|0.236059487|0.317301691|0.649999917|9.2|0.72177422|0.166356876|0.270392746|0.599999905|12.5|0.600790501|0.282527894|0.384323657|0.599999905|60|0.513661206|0.349442393|0.415929228|0.599999905|18.2|Left|
0.983805656|0.225836426|0.367346942|0.699999928|5.9|0.675257742|0.365241647|0.474065125|0.649999917|15.4|0.601220727|0.549256504|0.574065089|0.299999833|21.1|0.726679087|0.723977685|0.725325882|0.049999844|1123.8|0.750350654|0.497211903|0.59809953|0.599999905|6.6|0.964285731|0.426579922|0.591494858|0.249999836|19.3|0.893333316|0.56040895|0.688749313|0.349999845|51.1|0.758081317|0.675650537|0.714496315|0.399999857|12.7|Left|
