Dataset|Representation Model|Similarity Metric|Duplicates Type|Domain|Valid Pairs|BF Pairs|Average Characters D1|Average Tokens D1|Average Characters D2|Average Tokens D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Movies|CHARACTER_BIGRAM_GRAPHS|GRAPH_OVERALL_SIMILARITY|Balanced|Movies|609661673|640170930|95|15|547|127|0.952|0.984208465|0.109040812|0.19633013|0.549999893|4517|0.79650265|0.384507716|0.518643081|0.449999869|10040|0.67535007|0.573765457|0.620427072|0.299999833|27087|0.599483609|0.345274031|0.438178271|0.349999845|129552|0.754173398|0.612561762|0.676031113|0.349999845|7959|0.948808134|0.212395579|0.347092658|0.449999869|5436|0.894177616|0.36071381|0.514055967|0.099999845|405985|0.809783697|0.720421612|0.762493432|0.299999833|22114|Left
Movies|CHARACTER_BIGRAM_GRAPHS|GRAPH_VALUE_SIMILARITY|Balanced|Movies|609661673|640170930|95|15|547|127|0.952|0.983645499|0.163101956|0.279807895|0.249999836|4944|0.792634726|0.21935004|0.343610793|0.249999836|5947|0.467172474|0.403971493|0.433279425|0.099999845|28536|0.514762282|0.269955814|0.354173243|0.149999842|129045|0.631111085|0.428552687|0.510472059|0.149999842|8445|0.949710965|0.287451327|0.441325545|0.199999839|5280|0.874961257|0.493985921|0.631461263|0.049999844|288745|0.745367527|0.633381426|0.684826612|0.099999845|57290|Left
Movies|CHARACTER_TRIGRAMS|COSINE_SIMILARITY|Balanced|Movies|605017197|640170930|95|15|547|127|0.945|0.990749121|0.192057028|0.321743906|0.349999845|4565|0.66910249|0.284345895|0.399091452|0.299999833|9380|0.576457441|0.383195549|0.460366249|0.249999836|25755|0.487699449|0.2713992|0.34873262|0.249999836|130702|0.62354815|0.462581456|0.53113699|0.249999836|4597|0.954888165|0.332371086|0.493105352|0.249999836|6214|0.844157517|0.566242397|0.677818775|0.049999844|733260|0.69281894|0.629182518|0.659469128|0.199999839|28142|Right
Movies|CHARACTER_TRIGRAMS|ENHANCED_JACCARD_SIMILARITY|Balanced|Movies|605017197|640170930|95|15|547|127|0.945|0.989245236|0.225298524|0.36701104|0.249999836|5105|0.725933313|0.286620289|0.410975248|0.199999839|7691|0.581472576|0.359926522|0.444630563|0.149999842|25652|0.509667933|0.273236245|0.355751723|0.149999842|130168|0.840273798|0.38656345|0.529522777|0.199999839|4160|0.958948493|0.34942922|0.512213886|0.199999839|5111|0.870925307|0.550408959|0.674528301|0.049999844|362349|0.730676115|0.633425176|0.67858398|0.099999845|78815|Right
Movies|CHARACTER_TRIGRAMS|GENERALIZED_JACCARD_SIMILARITY|Balanced|Movies|605017197|640170930|95|15|547|127|0.945|0.984636843|0.154179245|0.266611218|0.249999836|4705|0.639557421|0.202248171|0.307314008|0.199999839|7780|0.485052675|0.273936063|0.350132763|0.149999842|25572|0.454283714|0.227747887|0.30339402|0.149999842|128348|0.592097998|0.376241088|0.460110724|0.149999842|4346|0.947394311|0.25285396|0.399171442|0.199999839|5330|0.829439819|0.464331001|0.59536761|0.049999844|362938|0.656014442|0.555788815|0.60175693|0.099999845|112559|Right
Movies|CHARACTER_TRIGRAMS_TF_IDF|ARCS_SIMILARITY|Balanced|Movies|605017197|640170930|95|15|547|127|0.945|0.997518599|0.017582994|0.034556866|0.199999839|5338|0.652463555|0.205616057|0.312691242|0.149999842|15601|0.419168651|0.393867821|0.406124592|0.049999844|27801|0.369250923|0.320605338|0.343212992|0.049999844|130957|0.658697546|0.462756425|0.5436095|0.099999845|6658|0.990694046|0.111752614|0.200848982|0.049999844|157529|0.924386024|0.209071428|0.341014504|0.049999844|217966|0.753861248|0.704500735|0.728345633|0.049999844|714270|Right
Movies|CHARACTER_TRIGRAMS_TF_IDF|COSINE_SIMILARITY|Balanced|Movies|604146716|640170930|95|15|547|127|0.944|0.991635263|0.3681494|0.536952555|0.299999833|4765|0.81721133|0.43861261|0.570843101|0.299999833|7900|0.723760366|0.601408362|0.65693599|0.199999839|26618|0.721544743|0.341599971|0.463680357|0.249999836|129086|0.839146018|0.624065101|0.715797961|0.249999836|6082|0.963442564|0.589030325|0.731087685|0.199999839|5625|0.910385549|0.735380292|0.813578248|0.149999842|30465|0.867141902|0.760792553|0.810493469|0.199999839|7643|Left
Movies|CHARACTER_TRIGRAMS_TF_IDF|GENERALIZED_JACCARD_SIMILARITY|Balanced|Movies|604146716|640170930|95|15|547|127|0.944|0.982664227|0.188426718|0.316218287|0.199999839|4684|0.761440158|0.242356643|0.367684126|0.199999839|6030|0.543794572|0.410313606|0.467716992|0.099999845|28216|0.630402207|0.239251196|0.346861154|0.149999842|128484|0.74626863|0.413331598|0.532004714|0.149999842|6452|0.947179615|0.334907919|0.494845986|0.149999842|5387|0.881072998|0.517167449|0.651765287|0.049999844|129361|0.798541665|0.632287979|0.705756009|0.099999845|13131|Left
Movies|CHARACTER_TRIGRAM_GRAPHS|GRAPH_OVERALL_SIMILARITY|Balanced|Movies|398365479|640170930|95|15|547|127|0.622|0.983200431|0.151030049|0.261838853|0.399999857|3102|0.816139102|0.400341153|0.53717941|0.299999833|6903|0.706656098|0.545160294|0.615490973|0.199999839|24018|0.592562258|0.347767144|0.438301057|0.199999839|128718|0.757555425|0.642479122|0.695287943|0.199999839|2863|0.952279449|0.253991157|0.401022047|0.299999833|3601|0.904550195|0.685168147|0.779721737|0.099999845|47148|0.798094094|0.74360323|0.769885659|0.149999842|11751|Right
Movies|CHARACTER_TRIGRAM_GRAPHS|GRAPH_VALUE_SIMILARITY|Balanced|Movies|398365479|640170930|95|15|547|127|0.622|0.986088216|0.182915628|0.308589131|0.199999839|3122|0.760290265|0.279534608|0.408775449|0.149999842|5240|0.546179354|0.497397542|0.520648241|0.049999844|26035|0.575098634|0.261426747|0.359453917|0.099999845|126613|0.752727032|0.491973937|0.595037878|0.099999845|4195|0.952207148|0.365131438|0.52785331|0.099999845|3755|0.895272434|0.488693535|0.632260978|0.049999844|33319|0.773760915|0.696496546|0.733098567|0.049999844|22111|Left
Movies|CHARACTER_FOURGRAMS|COSINE_SIMILARITY|Balanced|Movies|396654323|640170930|95|15|547|127|0.62|0.991762459|0.25276649|0.402858138|0.249999836|2880|0.700521708|0.364125431|0.479178041|0.199999839|9697|0.641595066|0.519354403|0.574039161|0.149999842|23869|0.675630987|0.268118799|0.383892775|0.199999839|128053|0.803052008|0.515592873|0.627990007|0.199999839|4085|0.964760542|0.463412493|0.626089513|0.149999842|4663|0.894030392|0.638017774|0.744633555|0.099999845|34225|0.812006831|0.688623548|0.745242834|0.149999842|6453|Left
Movies|CHARACTER_FOURGRAMS|ENHANCED_JACCARD_SIMILARITY|Balanced|Movies|396654323|640170930|95|15|547|127|0.62|0.991555572|0.292743742|0.452031195|0.149999842|3122|0.85939163|0.353409439|0.500852287|0.149999842|4395|0.744209707|0.448322624|0.559558928|0.099999845|24593|0.628941953|0.294843197|0.401477039|0.099999845|127905|0.805445313|0.568035662|0.666222036|0.099999845|4125|0.964467883|0.47963959|0.640668333|0.099999845|3753|0.914729178|0.626383245|0.743581116|0.049999844|34053|0.798628807|0.754056752|0.775703013|0.049999844|24653|Left
