classifier_name,accuracy
CNC,0.966480434
CNC,0.961538434
CNC,0.958762884
CNC,0.990825713
CNC,0.97835499
CNC,1
CNC,0.975000024
CNC,0.997555017
CNC,0.992287934
CNC,0.982905984
CNC,0.951807201
CNC,0.981818199
CNC,0.987394929
CNC,0.991869926
CNC,0.969135821
CNC,0.987206817
CNC,0.986945152
CNC,0.984126985
CNC,0.957317054
CNC,0.941747546
CNC,0.956043959
CNC,0.953846157
CNC,0.980263174
CNC,0.972809672
CNC,0.963768125
CNC,0.974093258
CNC,0.972477078
CNC,0.926829278
CNC,0.945736408
CNC,0.953125
CNC,0.969696999
CNC,0.962962985
CNC,0.956250012
CNC,0.577889442
CNC,0.646067441
CNC,0.621951222
CNC,0.846153855
CNC,0.655172408
CNC,0.627986372
CNC,0.668316841
CNC,0.692810476
CNC,0.660944223
CNC,0.589108884
CNC,0.633962274
CNC,0.621621609
CNC,0.604095578
CNC,0.508196712
CNC,0.698550701
CNC,0.65436244
CNC,0.699481845
CNC,0.551020384
CNC,0.660098493
CNC,0.599156141
CNC,0.627388537
CNC,0.589861751
CNC,0.681462169
CNC,0.646302223
CNC,0.561497331
CNC,0.541666687
CNC,0.685393274
CNC,0.611999989
CNC,0.642335773
CNC,0.633466125
CNC,0.596551716
CNC,0.546075106
CNC,0.674358964
CNC,0.65420562
CNC,0.643097639
CNC,0.642335773
CNC,0.634751797
CNC,0.593869746
CNC,0.65749234
CNC,0.601286173
CNC,0.597864747
CNC,0.698529422
CNC,0.685365856
CNC,0.623333335
CNC,0.622580647
CNC,0.61371839
CNC,0.677316308
CNC,0.668896317
CNC,0.620071709
CNC,0.636363626
CNC,0.698666692
CNC,0.657051265
