classifier_name,accuracy
CNC,0.614818037
CNC,0.651213169
CNC,0.524696708
CNC,0.621317148
CNC,0.579722703
CNC,0.763431549
CNC,0.642114401
CNC,0.672876954
CNC,0.643847466
CNC,0.661178529
CNC,0.023662686
CNC,0.048331365
CNC,0.032016795
CNC,0.000481127
CNC,0.106460221
CNC,0.038927525
CNC,0.109040812
CNC,0.163101956
CNC,0.192057028
CNC,0.225298524
CNC,0.154179245
CNC,0.017582994
CNC,0.3681494
CNC,0.188426718
CNC,0.151030049
CNC,0.182915628
CNC,0.25276649
CNC,0.292743742
CNC,0.183178067
CNC,0.227879107
CNC,0.39780432
CNC,0.232515424
CNC,0.129641786
CNC,0.161177441
CNC,0.21729432
CNC,0.263351262
CNC,0.162008479
CNC,0.38275817
CNC,0.460788161
CNC,0.245943233
CNC,0.287626296
CNC,0.249354854
CNC,0.014302585
CNC,0.040108472
CNC,0.020600971
CNC,0.354896545
CNC,0.149280503
CNC,0.075012028
CNC,0.160040244
CNC,0.055110879
CNC,0.229584917
CNC,0.128898218
CNC,0.085859247
CNC,0.80898875
CNC,0.80898875
CNC,0
CNC,0.112359554
CNC,0.752808988
CNC,0.629213512
CNC,0.303370774
CNC,0.134831458
CNC,0.104089223
CNC,0.092007436
CNC,0.211050719
CNC,0.160326093
CNC,0.909622312
CNC,0.914118707
CNC,0
CNC,0.158723027
CNC,0.866456807
CNC,0.725269794
CNC,0.529676259
CNC,0.524730206
CNC,0
CNC,0.018435251
CNC,0.218525186
CNC,0.191097125
CNC,0.107854627
CNC,0.106682301
CNC,0.460873991
CNC,0.464939028
CNC,0
CNC,0.009654472
CNC,0.465955287
CNC,0.245426834
CNC,0.438516259
CNC,0.435467482
CNC,0
CNC,0.121951222
CNC,0.433434963
CNC,0.284552842
CNC,0.387126863
CNC,0.391791046
CNC,0
CNC,0.092350744
CNC,0.387126863
CNC,0.241604477
CNC,0.299440295
CNC,0.299440295
CNC,0
CNC,0.003731343
CNC,0.299440295
CNC,0.12126866
CNC,0.560730577
CNC,0.567123294
CNC,0
CNC,0.142465755
CNC,0.561643839
CNC,0.368036538
CNC,0.357077628
CNC,0.516894996
CNC,0
CNC,0.19178082
CNC,0.481278539
CNC,0.401826471
CNC,0.751299798
CNC,0.758665502
CNC,0
CNC,0.049393415
CNC,0.633448899
CNC,0.25779897
CNC,0.257140368
CNC,0.062546469
CNC,0.505617976
CNC,0.460674167
CNC,0.050185874
CNC,0.043680299
CNC,0.083333336
CNC,0.078804351
CNC,0.71133095
CNC,0.735161841
CNC,0.0625
CNC,0.092176259
CNC,0.532012224
CNC,0.292682916
CNC,0.275186568
CNC,0.06436567
CNC,0.402739733
CNC,0.526940644
CNC,0
CNC,0.16621004
CNC,0.12237443
CNC,0.313258231
CNC,0.228769496
RSR,0.775280893
RSR,0.752808988
RSR,0.775280893
RSR,0.775280893
RSR,0.76404494
RSR,0.752808988
RSR,0.76404494
RSR,0.752808988
RSR,0.887640476
RSR,0.831460655
RSR,0.797752798
RSR,0.752808988
RSR,0.775280893
RSR,0.471910119
RSR,0.887640476
RSR,0.76404494
RSR,0.887640476
RSR,0.932584286
RSR,0.932584286
RSR,0.696629226
RSR,0.32713756
RSR,0.211895913
RSR,0.223048329
RSR,0.314126402
RSR,0.247211903
RSR,0.366171002
RSR,0.131040886
RSR,0.365241647
RSR,0.381040901
RSR,0.396840155
RSR,0.205390334
RSR,0.152416363
RSR,0.409420282
RSR,0.261775374
