Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
DBLP-ACM|Authors|Albert|WMD|Balanced|6001104|47|10|1|47|10|1|1|0.876|0.191|0.314|0.950|35|0.647|0.232|0.342|0.950|57|0.617|0.156|0.250|0.950|139|0.672|0.241|0.354|0.950|2093|0.655|0.243|0.355|0.950|48|0.804|0.217|0.342|0.950|52|0.739|0.235|0.357|0.950|443|0.682|0.253|0.369|0.950|98|Right
Walmart-Amazon|Model No|FastText|Cosine Similarity|Scarce|37699857|8|1|0.94|9|2|0.71|0.67|0.538|0.108|0.180|0.950|216|0.315|0.122|0.176|0.950|326|0.266|0.280|0.273|0.900|632|0.213|0.199|0.206|0.900|123805|0.260|0.274|0.267|0.900|246|0.325|0.257|0.287|0.900|252|0.297|0.280|0.288|0.900|1792|0.274|0.287|0.281|0.900|357|Right
Walmart-Amazon|Model No|FastText|Euclidean Distance|Scarce|37699860|8|1|0.94|9|2|0.71|0.67|0.476|0.107|0.174|0.550|217|0.265|0.115|0.160|0.500|436|0.281|0.202|0.235|0.450|676|0.202|0.237|0.218|0.400|123318|0.295|0.185|0.228|0.550|244|0.265|0.271|0.268|0.350|9294|0.252|0.247|0.250|0.500|1758|0.323|0.199|0.246|0.550|371|Right
IMDB-TMDB|Name|FastText|Cosine Similarity|Scarce|13318424|13|2|0.76|13|2|0.57|0.43|0.836|0.461|0.594|0.950|77|0.821|0.463|0.592|0.950|112|0.826|0.201|0.323|0.950|606|0.821|0.205|0.328|0.950|2636|0.825|0.466|0.596|0.950|109|0.828|0.466|0.596|0.950|90|0.826|0.466|0.596|0.950|628|0.826|0.466|0.596|0.950|128|Right
IMDB-TMDB|Name|FastText|Euclidean Distance|Scarce|13326102|13|2|0.76|13|2|0.57|0.43|0.836|0.465|0.598|0.450|75|0.821|0.466|0.595|0.400|117|0.839|0.212|0.339|0.550|587|0.850|0.207|0.333|0.450|2750|0.821|0.470|0.597|0.450|127|0.825|0.467|0.597|0.450|93|0.822|0.470|0.598|0.450|677|0.821|0.470|0.597|0.450|140|Left
IMDB-TMDB|Name|FastText|WMD|Scarce|13326102|13|2|0.76|13|2|0.57|0.43|0.000|0.000|0.000|0.000|3061|0.048|0.052|0.050|0.950|3847|0.117|0.204|0.148|0.400|622|0.116|0.201|0.147|0.800|2937|0.169|0.293|0.214|0.950|3367|0.488|0.289|0.363|0.950|3699|0.412|0.456|0.433|0.950|10150|0.265|0.457|0.335|0.950|22095|Left
IMDB-TMDB|Name|Albert|Cosine Similarity|Scarce|12936067|13|2|0.76|13|2|0.57|0.42|0.792|0.010|0.019|0.950|373|0.037|0.018|0.024|0.650|4834|0.131|0.174|0.150|0.950|744|0.116|0.203|0.147|0.050|2761|0.205|0.305|0.245|0.950|313|0.570|0.310|0.402|0.950|359|0.476|0.472|0.474|0.950|1234|0.329|0.473|0.388|0.950|838|Left
IMDB-TMDB|Name|Albert|Euclidean Distance|Scarce|13326102|13|2|0.76|13|2|0.57|0.43|0.834|0.466|0.598|0.950|77|0.830|0.467|0.598|0.950|113|0.809|0.280|0.417|0.900|596|0.784|0.208|0.329|0.300|2823|0.830|0.467|0.598|0.950|92|0.830|0.467|0.598|0.950|99|0.830|0.467|0.598|0.950|783|0.831|0.467|0.598|0.950|130|Right
IMDB-TMDB|Name|Albert|WMD|Scarce|13326102|13|2|0.76|13|2|0.57|0.43|0.743|0.245|0.369|0.950|81|0.365|0.267|0.309|0.950|216|0.415|0.260|0.320|0.950|609|0.354|0.183|0.242|0.950|2716|0.488|0.422|0.453|0.950|127|0.652|0.380|0.480|0.950|99|0.605|0.469|0.528|0.950|643|0.552|0.469|0.507|0.950|159|Left
IMDB-TMDB|Title|FastText|Cosine Similarity|Scarce|3235475|16|3|0.24|16|3|0.43|0.1|0.964|0.439|0.603|0.950|25|0.868|0.449|0.592|0.900|55|0.850|0.207|0.333|0.950|645|0.819|0.212|0.337|0.900|2755|0.894|0.479|0.624|0.850|29|0.937|0.477|0.632|0.850|33|0.928|0.482|0.634|0.850|235|0.900|0.483|0.628|0.850|52|Right
